param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.00775471885979852
0.1,0.5,0.1,-0.0037354395559646984
0.1,1.0,0.1,-0.003186655139388432
0.1,0.1,0.2,-0.03618494850653542
0.1,0.5,0.2,-0.029584199889320557
0.1,1.0,0.2,-0.02400566292304938
0.1,0.1,0.3,-0.06651057422058791
0.1,0.5,0.3,-0.0722997720437267
0.1,1.0,0.3,-0.07242427020926599
1.0,0.1,0.1,-0.004947228107021208
1.0,0.5,0.1,-0.0036950210596332946
1.0,1.0,0.1,-0.0037919966248120183
1.0,0.1,0.2,-0.021182724979313002
1.0,0.5,0.2,-0.019500327821382505
1.0,1.0,0.2,-0.015795979358295294
1.0,0.1,0.3,-0.0717393031256542
1.0,0.5,0.3,-0.046898682553305863
1.0,1.0,0.3,-0.04297436365290733
10.0,0.1,0.1,-0.005455943057754202
10.0,0.5,0.1,-0.0059719054926600955
10.0,1.0,0.1,-0.005489266219499639
10.0,0.1,0.2,-0.01916948213241818
10.0,0.5,0.2,-0.0065367147308484815
10.0,1.0,0.2,-0.005234909093661859
10.0,0.1,0.3,-0.060687284478122216
10.0,0.5,0.3,-0.028517973217882197
10.0,1.0,0.3,-0.016687260543221918
