param_C,param_gamma,param_epsilon,mean_test_score
0.1,0.1,0.1,-0.02668010286318571
0.1,0.5,0.1,-0.027996031292097934
0.1,1.0,0.1,-0.030160519337383656
0.1,0.1,0.2,-0.07865673367866062
0.1,0.5,0.2,-0.07871181938548803
0.1,1.0,0.2,-0.07878086239922248
0.1,0.1,0.3,-0.4449339345981265
0.1,0.5,0.3,-0.44519837773843446
0.1,1.0,0.3,-0.4455335957522531
1.0,0.1,0.1,-0.0292876929349067
1.0,0.5,0.1,-0.031595859200170016
1.0,1.0,0.1,-0.031182824368884792
1.0,0.1,0.2,-0.07878432171718064
1.0,0.5,0.2,-0.07961780378739329
1.0,1.0,0.2,-0.08034142744049684
1.0,0.1,0.3,-0.44552418069488486
1.0,0.5,0.3,-0.4482118278598977
1.0,1.0,0.3,-0.4516872370619623
10.0,0.1,0.1,-0.03205682138383118
10.0,0.5,0.1,-0.03127375663940035
10.0,1.0,0.1,-0.03313023142159921
10.0,0.1,0.2,-0.08037122891684678
10.0,0.5,0.2,-0.08339077696056019
10.0,1.0,0.2,-0.08227891244379548
10.0,0.1,0.3,-0.45162135983694557
10.0,0.5,0.3,-0.43698658376232924
10.0,1.0,0.3,-0.44709312403387097
